ID,Subject
221000217,CSCI208+CSCI465+ECE471+ECEN428+ECEN438
221000221,MKTG405+MKTG417
221000224,IND325+MNG232+MNG363+MNG372
221000229,ECE121+ECE231+MTH215+MTH216+PHY111
221000238,MKTG405+MKTG417+MKTG470
221000240,ARC343+ARC353+ARC363+ARC477+ARUD356/CVL317
221000241,AIS431+AIS477
221000243,IND325+MENG327+MENG422+MNG321+MNG363
221000244,MENG327+MENG422+MNG321+MNG363+SSCI201
221000246,IENG324+IND323+IND333+IND356
221000256,APBI410+CBIO409+MATH103B+MICR405
221000258,MKTG405+MKTG417+MKTG470
221000267,AIS302+AIS323+AIS431+CSCI315+CSCI465+CSCI467
221000268,CSCI415+CSCI455+HUMA001/101 (Room)+NSCI102+SSCI102
221000271,ACCT301+ACCT303+FINC406
221000275,ECE322+ECE335+ECE462+ECEN465+ECEN473
221000280,ECE471+ECEN428+ECEN438+SSCI201
221000289,AIS302+AIS323+AIS411+CSCI315
221000294,APBI410+CBIO313+CBIO409+MICR405
221000295,CSCI467+CSCI482
221000297,ECE233+ECE314+ECE345+ECE471+ECEN428
221000307,BSAD401+CSCI465+MATH210
221000312,FINC307+FINC406
221000315,HUMA001/101 (Room)+MENG327+MENG422+MNG321+MNG363
221000318,AIS421+AIS431+AIS477+SSCI201
221000322,CSCI467+CSCI482
221000330,ECE121+ECE231+ECE471+MTH215+MTH217
221000334,ACCT303+OPMG301+OPMG303+OPMG401
221000340,MKTG304+MKTG417+MKTG470
221000341,ECON201+MATH110B+MGMT201+MOIT301+NSCI102
221000347,AIS421+AIS431+CSCI482
221000348,AIS302+AIS323+AIS411+AIS431+AIS462+CSCI465
221000351,CSCI315+CSCI415+CSCI467+CSCI482+NSCI102
221000352,MNG232+MNG241+MNG372
221000354,CSCI315+CSCI455+ECEN101C+MATH210
221000362,CSCI465
221000377,CVL211+CVL411+CVL451+MTH112
221000378,CSCI315+CSCI417+CSCI451+CSCI465+MATH301
221000379,ECE232+ECE335+ECE338+ECEN465
221000381,MKTG302+MKTG304+MKTG405+MKTG417+MKTG470
221000388,MKTG417+MKTG470
221000389,MKTG307+MKTG401+MKTG405+MKTG417
221000390,MATH301I
221000391,CSCI305+CSCI315+CSCI322+CSCI419+HUMA102
221000392,APBI410+CBIO409+MATH103B+MICR405
221000396,ARUD344+ARUD356/CVL317+ARUD363
221000397,ECE121+MTH111+MTH113+MTH217
221000400,MENG327+MNG241+MNG321+MNG363+MNG372
221000404,CSCI465+CSCI467+HUMA111+SSCI102
221000406,CSCI465+ECE314+ECE471+MTH113+SSCI201
221000407,AIS411
221000410,AIS421+AIS431+AIS462
221000415,CSCI465+CSCI482
221000417,APBI410+MATH103B+MICR303
221000418,CSCI465+CSCI467
221000422,OPMG405
221000424,AIS421+AIS462+AIS477
221000427,CSCI305+CSCI315+CSCI419+CSCI461+MATH210
221000432,AIS421+AIS431+CSCI315
221000438,ACCT303+OPMG401+OPMG406+OPMG420
221000442,CSCI465+ECE471+ECEN428+ECEN438+SSCI201
221000443,CBIO203+CBIO305+CBIO312+CBIO313
221000447,AIS411+SSCI102
221000462,CSCI315+CSCI451+MATH203+MATH301
221000471,BMD404
221000473,AIS411+CSCI451+CSCI467
221000476,IND212+IND242+IND252
221000484,APBI410+CBIO306+CBIO409+MATH103B+MICR405
221000485,ACCT303+FINC302+FINC305
221000494,MTH113
221000495,CSCI467+CSCI482
221000497,BSAD420+MKTG405+MKTG417+MKTG470+NSCI103
221000499,CSCI417+CSCI451+NSCI102
221000507,CSCI205+MATH100+PHYS101C+SSCI102
221000508,CSCI305+CSCI467+CSCI482+NSCI102
221000509,CBIO305+CBIO306+CBIO312+CBIO313+CBIO314
221000522,BSAD420+FINC305+MKTG303+MKTG304+MKTG305
221000529,CSCI322+ECE335+ECE338+ECEN456+HUMA001/101 (Room)
221000533,ECE335+ECE338+ECE462+ECEN465+ECEN473
221000539,CSCI465+CSCI467+NSCI102
221000544,AIS411+CSCI467
221000545,APBI410+MATH103B+MICR303
221000556,CSCI315+ECE213+ECE233+ECE338
221000558,ECE233+ECE338+ECE345+MTH216
221000564,ECE121+ECE213+ECE252+ECE338
221000570,AIS421+AIS431+CSCI465+SSCI201
221000579,CSCI467+CSCI482
221000582,BIO206+CBIO203+CBIO312+CBIO313
221000583,APBI410+CBIO313+CBIO409+MATH204
221000584,MKTG417+MKTG470
221000587,CSCI465+ECE471+ECEN428+ECEN438+SSCI201
221000591,MNG372+MNG373+MNG382
221000594,ECE233+ECE252+ECE345+ECE346+MTH217
221000595,ACCT301+ACCT303+FINC406
221000597,MKTG417+MKTG470
221000600,CSCI415+CSCI482
221000608,CSCI465+CSCI467+NSCI102
221000609,MGMT402+NSCI103+OPMG420
221000610,CSCI415+CSCI467+CSCI482
221000613,ECE252+ECE345+ECE346+MTH216+MTH217
221000630,MENG327+MENG422+MNG321+MNG363
221000633,MKTG417+MKTG470
221000635,CSCI467+CSCI482+NSCI102
221000637,ECE471+ECEN428+ECEN438+SSCI201
221000645,AIS421+AIS431+CSCI465+SSCI201
221000649,ACCT301+ACCT303+BSAD401+FINC307+FINC406
221000653,MENG327+MENG422+MNG321+MNG363
221000656,ECE335+ECE424+ECEN456+ECEN465
221000663,CSCI467+CSCI482
221000674,CSCI467+CSCI482
221000675,BSAD420+ECON201+MGMT402+OPMG301
221000679,FINC307+FINC406
221000681,AIS421+AIS431+AIS477
221000682,CSCI465+CSCI467+NSCI102+SSCI102
221000685,ECEN456+ECEN465+ECEN473
221000689,APBI410+CBIO312+CBIO409
221000691,ACCT201+CSCE101B+ECON201+MATH201B
221000692,APBI101+APBI410+CBIO409+MATH103B+MICR405
221000694,CSCI208+CSCI465+ECE471+ECEN428+ECEN438
221000696,ACCT301+ACCT303+FINC406
221000697,BMD404
221000703,AIS431+AIS477+MATH203I+SSCI201
221000704,APBI410+CBIO409+MATH103B+MICR405
221000705,BMD212+CSCI419+MATH301I
221000709,MKTG417
221000716,CSCI467+CSCI482
221000718,CSCI465+CSCI467
221000720,APBI410+CBIO306+CBIO409+MATH103B+MATH204+MICR405
221000724,ACCT303+BSAD420+MGMT402+OPMG303+OPMG401
221000728,AIS323+AIS421+AIS431+AIS477+CSCI461+CSCI467
221000729,FINC305+MKTG305+MKTG417+MOIT301
221000735,ACCT202+MGMT303+MOIT301+NSCI103
221000738,CSCI467+CSCI482
221000739,CSCI467+CSCI482
221000741,CSCI465+CSCI467
221000743,ACCT303+FINC307+FINC406
221000744,AIS302+AIS421+AIS431+AIS477
221000745,IENG315+IENG324+IENG345+IENG408+IND323
221000746,BMD404
221000748,OPMG405+OPMG420
221000750,CSCI315+CSCI415+CSCI465+CSCI467
221000752,MGMT402+OPMG304+OPMG420
